albedo_above,albedo_below,albedo_total,count_above,count_below,count_total,date,median_elevation,timestamp,year,month,season
0.5376954522227899,0.532,0.5354486386138614,11,5,16,2019-04-14,2090.5361445783133,1555200000000,2019,4,Printemps
0.687430819316332,0.6032398239823983,0.6456227806610217,20,17,37,2019-04-15,2090.5361445783133,1555286400000,2019,4,Printemps
0.66,,0.66,1,0,1,2019-04-15,2090.5361445783133,1555286400000,2019,4,Printemps
0.4894113883557262,0.4481428571428572,0.4766460450729121,13,4,17,2019-04-16,2090.5361445783133,1555372800000,2019,4,Printemps
0.6147886414972571,0.47000000000000003,0.6037805605247464,14,1,15,2019-04-18,2090.5361445783133,1555545600000,2019,4,Printemps
0.7440930053804765,0.7213868613138686,0.7383035075161055,32,7,39,2019-04-20,2090.5361445783133,1555718400000,2019,4,Printemps
0.6189913766553743,0.5627353361945636,0.599308239062969,42,15,57,2019-04-20,2090.5361445783133,1555718400000,2019,4,Printemps
0.5080015372790161,0.519736477115118,0.5121859545004948,6,4,10,2019-04-23,2090.5361445783133,1555977600000,2019,4,Printemps
0.6358066759388039,0.22,0.6100391389432486,9,1,10,2019-04-23,2090.5361445783133,1555977600000,2019,4,Printemps
0.58,,0.58,1,0,1,2019-04-24,2090.5361445783133,1556064000000,2019,4,Printemps
0.5565727948990435,0.39174371257485036,0.4865023928316871,36,20,56,2019-04-25,2090.5361445783133,1556150400000,2019,4,Printemps
0.5248255953812847,0.42333333333333334,0.5090511986997156,29,3,32,2019-04-25,2090.5361445783133,1556150400000,2019,4,Printemps
0.6295985037406481,0.6249604743083004,0.6290788308237376,24,2,26,2019-04-28,2090.5361445783133,1556409600000,2019,4,Printemps
0.7789595375722543,,0.7789595375722543,3,0,3,2019-04-28,2090.5361445783133,1556409600000,2019,4,Printemps
0.56,,0.56,1,0,1,2019-04-30,2090.5361445783133,1556582400000,2019,4,Printemps
0.7278440925700366,,0.7278440925700366,13,0,13,2019-04-30,2090.5361445783133,1556582400000,2019,4,Printemps
0.6818471337579617,,0.6818471337579617,3,0,3,2019-05-02,2090.5361445783133,1556755200000,2019,5,Printemps
0.6395552147239264,0.53,0.6270956048935207,15,1,16,2019-05-05,2090.5361445783133,1557014400000,2019,5,Printemps
0.5643360995850621,,0.5643360995850621,5,0,5,2019-05-07,2090.5361445783133,1557187200000,2019,5,Printemps
