Albedo_BSA_Band1,Albedo_BSA_Band1_count,Albedo_BSA_Band2,Albedo_BSA_Band2_count,Albedo_BSA_Band3,Albedo_BSA_Band3_count,Albedo_BSA_Band4,Albedo_BSA_Band4_count,Albedo_BSA_nir,Albedo_BSA_nir_count,Albedo_BSA_vis,Albedo_BSA_vis_count,date,doy,month,year
0.7162847682119206,7,0.65057856272838,11,0.7136227621483375,12,0.7137327044025157,9,0.4688014571948999,7,0.7148559602649006,7,2020-04-24,114,4,2020
0.6907699115044248,6,0.6427552275522757,11,0.7207195571955719,14,0.6920413223140497,8,0.46502043795620446,7,0.6932190265486726,6,2020-04-25,115,4,2020
0.6920698689956332,7,0.6479377382465057,10,0.7247523629489604,13,0.6994650655021835,7,0.4688922610015174,6,0.6947008733624455,7,2020-04-26,116,4,2020
0.684729411764706,6,0.6492271062271062,6,0.6878032955715758,11,0.6962984562607204,7,0.4648343558282209,5,0.6783317647058824,6,2021-04-23,112,4,2021
0.6949519725557463,7,0.6353111888111889,9,0.6677881257275904,10,0.6650977961432507,8,0.4559269282814614,6,0.6844631217838766,7,2021-04-24,113,4,2021
0.6947650085763294,7,0.6326110444177673,8,0.6640131894484413,9,0.6648966942148762,8,0.45659269282814613,6,0.6843361921097771,7,2021-04-25,114,4,2021
0.6853375314861461,8,0.6355665445665445,9,0.6692308522114349,10,0.655976923076923,7,0.4873612903225806,5,0.6611815384615386,7,2021-04-27,116,4,2021
0.376035964035964,12,0.3545611406476558,12,0.35133752481800123,10,0.36956382369776763,11,0.23956926406926413,5,0.36268918918918913,9,2021-07-25,205,7,2021
0.37765756196256944,11,0.35472740454325763,12,0.3512051621442752,10,0.37138327526132403,10,0.23980086580086585,5,0.3648595220854453,8,2021-07-26,206,7,2021
0.39743771541112743,10,0.36288631488631495,14,0.360177668539326,8,0.3850339879154078,8,0.23967718606180144,8,0.37255420773313125,7,2021-07-27,207,7,2021
0.39731462333825696,10,0.3620592991913747,13,0.35775360121304023,7,0.38511253776435045,8,0.24011965811965813,8,0.37243972706595907,7,2021-07-28,208,7,2021
0.41544837284049807,14,0.37948268072289165,16,0.3667678460583488,10,0.4019682112068965,10,0.2591161195492406,13,0.3854422236102435,9,2021-07-29,209,7,2021
0.4105221712538225,15,0.37307283537718317,16,0.35974484181568084,8,0.3924396248534583,10,0.2587795198432141,13,0.3766856946354883,8,2021-07-30,210,7,2021
0.4171329411764706,10,0.3824923943661972,11,0.3692667398463227,5,0.40506018916595016,7,0.27064355555555564,8,0.38883424807903394,5,2021-07-31,211,7,2021
0.4099911162611046,14,0.3737525083612039,16,0.3600247592847319,8,0.39291793669402103,10,0.25901714845663887,13,0.37719601100412653,8,2021-08-01,212,8,2021
0.4091589072720276,15,0.37288226582747125,17,0.35963456284153006,9,0.393288681204569,12,0.2578756704046806,14,0.3763367486338797,9,2021-08-02,213,8,2021
0.40887608942781356,16,0.3732639763050721,17,0.3593497340425532,10,0.3928611393692777,13,0.25834227206240856,14,0.37586968085106387,10,2021-08-03,214,8,2021
0.4042161078717201,17,0.36596924203588427,17,0.3533451676528599,10,0.39058512467755796,15,0.25410020242914977,13,0.36740828402366865,10,2021-08-04,215,8,2021
0.40991086215294686,10,0.37371875000000004,11,0.35620935960591127,7,0.3986449098879689,10,0.2572095563139932,8,0.3756100993377484,6,2021-08-05,216,8,2021
0.40687012320328547,9,0.3719341772151899,10,0.36018900343642607,7,0.39656724845995894,9,0.25318023255813954,9,0.3775319587628866,7,2021-08-06,217,8,2021
0.4027638715060493,13,0.3617124587458746,14,0.36370585808580863,14,0.3949002920317064,13,0.25254125065685756,9,0.38222695035460996,13,2021-08-07,218,8,2021
0.4019471273938386,14,0.3614540963359407,15,0.3622524395417904,14,0.39402206494587855,14,0.2513517745302714,10,0.3809326180257512,13,2021-08-08,219,8,2021
0.3870790190735696,9,0.3459761580381472,9,0.35598650927487346,7,0.3818501362397821,9,0.23082803297997642,5,0.368889544688027,7,2021-08-09,220,8,2021
